fold,difficulty,budget_pct,algorithm,seed,AUC_PR
1,hard,0.25,MemStream,42,0.20448129616437094
1,hard,0.25,MemStream,123,0.20448129616437094
1,hard,0.25,MemStream,456,0.20448129616437094
1,hard,0.25,MemStream,789,0.20448129616437094
1,hard,0.25,MemStream,1024,0.20448129616437094
1,medium,0.01,MemStream,42,0.5180781787652885
1,medium,0.01,MemStream,123,0.5180781787652885
1,medium,0.01,MemStream,456,0.5180781787652885
1,medium,0.01,MemStream,789,0.5180781787652885
1,medium,0.01,MemStream,1024,0.5180781787652885
1,medium,0.05,MemStream,42,0.5180781787652885
1,medium,0.05,MemStream,123,0.5180781787652885
1,medium,0.05,MemStream,456,0.5180781787652885
1,medium,0.05,MemStream,789,0.5180781787652885
1,medium,0.05,MemStream,1024,0.5180781787652885
1,medium,0.1,MemStream,42,0.5180781787652885
1,medium,0.1,MemStream,123,0.5180781787652885
1,medium,0.1,MemStream,456,0.5180781787652885
1,medium,0.1,MemStream,789,0.5180781787652885
1,medium,0.1,MemStream,1024,0.5180781787652885
1,medium,0.25,MemStream,42,0.5180781787652885
1,medium,0.25,MemStream,123,0.5180781787652885
1,medium,0.25,MemStream,456,0.5180781787652885
1,medium,0.25,MemStream,789,0.5180781787652885
1,medium,0.25,MemStream,1024,0.5180781787652885
2,easy,0.01,MemStream,42,0.8266151718532222
2,easy,0.01,MemStream,123,0.8266151718532222
2,easy,0.01,MemStream,456,0.8266151718532222
2,easy,0.01,MemStream,789,0.8266151718532222
2,easy,0.01,MemStream,1024,0.8266151718532222
2,easy,0.05,MemStream,42,0.8266151718532222
2,easy,0.05,MemStream,123,0.8266151718532222
2,easy,0.05,MemStream,456,0.8266151718532222
2,easy,0.05,MemStream,789,0.8266151718532222
2,easy,0.05,MemStream,1024,0.8266151718532222
2,easy,0.1,MemStream,42,0.8266151718532222
2,easy,0.1,MemStream,123,0.8266151718532222
2,easy,0.1,MemStream,456,0.8266151718532222
2,easy,0.1,MemStream,789,0.8266151718532222
2,easy,0.1,MemStream,1024,0.8266151718532222
2,easy,0.25,MemStream,42,0.8266151718532222
2,easy,0.25,MemStream,123,0.8266151718532222
2,easy,0.25,MemStream,456,0.8266151718532222
2,easy,0.25,MemStream,789,0.8266151718532222
2,easy,0.25,MemStream,1024,0.8266151718532222
2,hard,0.01,MemStream,42,0.2191626271654205
2,hard,0.01,MemStream,123,0.2191626271654205
2,hard,0.01,MemStream,456,0.2191626271654205
2,hard,0.01,MemStream,789,0.2191626271654205
2,hard,0.01,MemStream,1024,0.2191626271654205
2,hard,0.05,MemStream,42,0.2191626271654205
2,hard,0.05,MemStream,123,0.2191626271654205
2,hard,0.05,MemStream,456,0.2191626271654205
2,hard,0.05,MemStream,789,0.2191626271654205
2,hard,0.05,MemStream,1024,0.2191626271654205
2,hard,0.1,MemStream,42,0.2191626271654205
2,hard,0.1,MemStream,123,0.2191626271654205
2,hard,0.1,MemStream,456,0.2191626271654205
2,hard,0.1,MemStream,789,0.2191626271654205
2,hard,0.1,MemStream,1024,0.2191626271654205
2,hard,0.25,MemStream,42,0.2191626271654205
2,hard,0.25,MemStream,123,0.2191626271654205
2,hard,0.25,MemStream,456,0.2191626271654205
2,hard,0.25,MemStream,789,0.2191626271654205
2,hard,0.25,MemStream,1024,0.2191626271654205
2,medium,0.01,MemStream,42,0.5364616419125465
2,medium,0.01,MemStream,123,0.5364616419125465
2,medium,0.01,MemStream,456,0.5364616419125465
2,medium,0.01,MemStream,789,0.5364616419125465
2,medium,0.01,MemStream,1024,0.5364616419125465
2,medium,0.05,MemStream,42,0.5364616419125465
2,medium,0.05,MemStream,123,0.5364616419125465
2,medium,0.05,MemStream,456,0.5364616419125465
2,medium,0.05,MemStream,789,0.5364616419125465
2,medium,0.05,MemStream,1024,0.5364616419125465
2,medium,0.1,MemStream,42,0.5364616419125465
2,medium,0.1,MemStream,123,0.5364616419125465
2,medium,0.1,MemStream,456,0.5364616419125465
2,medium,0.1,MemStream,789,0.5364616419125465
2,medium,0.1,MemStream,1024,0.5364616419125465
2,medium,0.25,MemStream,42,0.5364616419125465
2,medium,0.25,MemStream,123,0.5364616419125465
2,medium,0.25,MemStream,456,0.5364616419125465
2,medium,0.25,MemStream,789,0.5364616419125465
2,medium,0.25,MemStream,1024,0.5364616419125465
3,easy,0.01,MemStream,42,0.8215985593526406
3,easy,0.01,MemStream,123,0.8215985593526406
3,easy,0.01,MemStream,456,0.8215985593526406
3,easy,0.01,MemStream,789,0.8215985593526406
3,easy,0.01,MemStream,1024,0.8215985593526406
3,easy,0.05,MemStream,42,0.8215985593526406
3,easy,0.05,MemStream,123,0.8215985593526406
3,easy,0.05,MemStream,456,0.8215985593526406
3,easy,0.05,MemStream,789,0.8215985593526406
3,easy,0.05,MemStream,1024,0.8215985593526406
3,easy,0.1,MemStream,42,0.8215985593526406
3,easy,0.1,MemStream,123,0.8215985593526406
3,easy,0.1,MemStream,456,0.8215985593526406
3,easy,0.1,MemStream,789,0.8215985593526406
3,easy,0.1,MemStream,1024,0.8215985593526406
3,easy,0.25,MemStream,42,0.8215985593526406
3,easy,0.25,MemStream,123,0.8215985593526406
3,easy,0.25,MemStream,456,0.8215985593526406
3,easy,0.25,MemStream,789,0.8215985593526406
3,easy,0.25,MemStream,1024,0.8215985593526406
3,hard,0.01,MemStream,42,0.19269380890864787
3,hard,0.01,MemStream,123,0.19269380890864787
3,hard,0.01,MemStream,456,0.19269380890864787
3,hard,0.01,MemStream,789,0.19269380890864787
3,hard,0.01,MemStream,1024,0.19269380890864787
3,hard,0.05,MemStream,42,0.19269380890864787
3,hard,0.05,MemStream,123,0.19269380890864787
3,hard,0.05,MemStream,456,0.19269380890864787
3,hard,0.05,MemStream,789,0.19269380890864787
3,hard,0.05,MemStream,1024,0.19269380890864787
3,hard,0.1,MemStream,42,0.19269380890864787
3,hard,0.1,MemStream,123,0.19269380890864787
3,hard,0.1,MemStream,456,0.19269380890864787
3,hard,0.1,MemStream,789,0.19269380890864787
3,hard,0.1,MemStream,1024,0.19269380890864787
3,hard,0.25,MemStream,42,0.19269380890864787
3,hard,0.25,MemStream,123,0.19269380890864787
3,hard,0.25,MemStream,456,0.19269380890864787
3,hard,0.25,MemStream,789,0.19269380890864787
3,hard,0.25,MemStream,1024,0.19269380890864787
3,medium,0.01,MemStream,42,0.49601459817781296
3,medium,0.01,MemStream,123,0.49601459817781296
3,medium,0.01,MemStream,456,0.49601459817781296
3,medium,0.01,MemStream,789,0.49601459817781296
3,medium,0.01,MemStream,1024,0.49601459817781296
3,medium,0.05,MemStream,42,0.49601459817781296
3,medium,0.05,MemStream,123,0.49601459817781296
3,medium,0.05,MemStream,456,0.49601459817781296
3,medium,0.05,MemStream,789,0.49601459817781296
3,medium,0.05,MemStream,1024,0.49601459817781296
3,medium,0.1,MemStream,42,0.49601459817781296
3,medium,0.1,MemStream,123,0.49601459817781296
3,medium,0.1,MemStream,456,0.49601459817781296
3,medium,0.1,MemStream,789,0.49601459817781296
3,medium,0.1,MemStream,1024,0.49601459817781296
3,medium,0.25,MemStream,42,0.49601459817781296
3,medium,0.25,MemStream,123,0.49601459817781296
