AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,train_ms,score_ms,labels_consumed,anomaly_rate,fold,month,difficulty,algorithm,seed,error,label_budget,BAR_score
0.1388603908988519,0.5183439333333333,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,hard,CA-DIF-EIA (streaming),456,,500,0.027772078179770378
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,easy,sHST-River,42,,0,56.52173913043478
0.15449807803322124,0.6011284666666666,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,2,3,easy,sHST-River,42,,500,0.03089961560664425
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,easy,sHST-River,123,,0,56.52173913043478
0.1541326128877438,0.5975556333333334,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,2,3,easy,sHST-River,123,,500,0.03082652257754876
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,easy,sHST-River,456,,0,56.52173913043478
0.15560312418473665,0.6007365333333334,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,2,3,easy,sHST-River,456,,500,0.031120624836947327
0.1261910817009351,0.49124893333333336,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,easy,MemStream,42,,0,12.61910817009351
0.10291032256597561,0.4129712,0.177629958117763,0.10894530069507403,0.4806666666666667,0.5897,721,5897,4103,779,0.0,0.0,500,0.13043478260869565,2,3,easy,MemStream,42,,500,0.020582064513195122
0.1261910817009351,0.49124893333333336,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,easy,MemStream,123,,0,12.61910817009351
0.10166385685121636,0.40798559999999995,0.17869415807560138,0.1095066185318893,0.48533333333333334,0.592,728,5920,4080,772,0.0,0.0,500,0.13043478260869565,2,3,easy,MemStream,123,,500,0.02033277137024327
0.1261910817009351,0.49124893333333336,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,2,3,easy,MemStream,456,,0,12.61910817009351
0.10193230945353085,0.4074318,0.1782350024789291,0.10947015834348356,0.47933333333333333,0.5849,719,5849,4151,781,0.0,0.0,500,0.13043478260869565,2,3,easy,MemStream,456,,500,0.02038646189070617
0.12985392971522455,0.5061711666666666,0.22956024765835847,0.13029374662101278,0.964,0.9652,1446,9652,348,54,0.0,0.0,0,0.13043478260869565,2,3,easy,CA-DIF-EIA (streaming),42,,0,12.985392971522455
0.12985392971522455,0.5061711666666666,0.22956024765835847,0.13029374662101278,0.964,0.9652,1446,9652,348,54,0.0,0.0,500,0.13043478260869565,2,3,easy,CA-DIF-EIA (streaming),42,,500,0.02597078594304491
0.12958952459005196,0.5021442,0.21836631151699645,0.12878515858767206,0.7173333333333334,0.7279,1076,7279,2721,424,0.0,0.0,0,0.13043478260869565,2,3,easy,CA-DIF-EIA (streaming),123,,0,12.958952459005197
