difficulty,algo,seed,label_budget,elapsed_s,AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,labels_consumed,anomaly_rate,auc_pr_pre_drift,auc_pr_post_drift,drift_detected_at,drift_point
sudden_drift,SimplifiedMemStream,42,100,21.41183060000185,0.9274070469727036,0.9980374,0.8603642671292281,0.7595712098009189,0.992,0.0157,496,157,9843,4,100,0.047619047619047616,,,,
sudden_drift,FullMemStream,42,500,3.21269939999911,0.7936241875002329,0.964953,0.10968520346605243,0.058024834629221304,1.0,0.8117,500,8117,1883,0,500,0.047619047619047616,,,,
sudden_drift,SimplifiedMemStream,42,500,22.65223939999123,0.9274070469727036,0.9980374,0.8603642671292281,0.7595712098009189,0.992,0.0157,496,157,9843,4,500,0.047619047619047616,,,,
sudden_drift,FullMemStream,123,0,3.041294499998912,0.9010855116982798,0.9980156000000001,0.8375209380234506,0.7204610951008645,1.0,0.0194,500,194,9806,0,0,0.047619047619047616,,,,
sudden_drift,SimplifiedMemStream,123,0,22.492116199980956,0.9254717742653203,0.9980276,0.8583840139009556,0.7588325652841782,0.988,0.0157,494,157,9843,6,0,0.047619047619047616,,,,
sudden_drift,FullMemStream,123,100,3.308361600007629,0.9011584404289817,0.9980216,0.8389261744966443,0.7225433526011561,1.0,0.0192,500,192,9808,0,100,0.047619047619047616,,,,
sudden_drift,SimplifiedMemStream,123,100,25.15774490000331,0.9254717742653203,0.9980276,0.8583840139009556,0.7588325652841782,0.988,0.0157,494,157,9843,6,100,0.047619047619047616,,,,
sudden_drift,FullMemStream,123,500,3.9365494000085164,0.7164562409958775,0.965029,0.13908205841446453,0.07473841554559044,1.0,0.619,500,6190,3810,0,500,0.047619047619047616,,,,
sudden_drift,SimplifiedMemStream,123,500,24.193974199995864,0.9254717742653203,0.9980276,0.8583840139009556,0.7588325652841782,0.988,0.0157,494,157,9843,6,500,0.047619047619047616,,,,
sudden_drift,FullMemStream,456,0,3.2195515999919735,0.9021893168412859,0.9981244,0.872471416007036,0.7786499215070644,0.992,0.0141,496,141,9859,4,0,0.047619047619047616,,,,
sudden_drift,SimplifiedMemStream,456,0,20.448915999993915,0.9222859176471639,0.9978612,0.8583840139009556,0.7588325652841782,0.988,0.0157,494,157,9843,6,0,0.047619047619047616,,,,
sudden_drift,FullMemStream,456,100,3.3318820999993477,0.9004957885173462,0.9978512,0.5437737901033171,0.37341299477221807,1.0,0.0839,500,839,9161,0,100,0.047619047619047616,,,,
sudden_drift,SimplifiedMemStream,456,100,21.78778099999181,0.9222859176471639,0.9978612,0.8583840139009556,0.7588325652841782,0.988,0.0157,494,157,9843,6,100,0.047619047619047616,,,,
