fold,difficulty,algorithm,seed,AUC_PR_control,AUC_PR_treatment,delta
4,easy,METER-SCD,456,0.9055945304475861,0.9244867679131906,0.018892237465604533
4,easy,METER-SCD,789,0.8883838515280773,0.9403527634517781,0.05196891192370079
4,easy,METER-SCD,1024,0.9048814084255729,0.9399229150855473,0.03504150665997441
4,hard,METER-SCD,42,0.630261913587236,0.6773210168769896,0.0470591032897536
4,hard,METER-SCD,123,0.6116379384794578,0.6794026093442057,0.06776467086474791
4,hard,METER-SCD,456,0.6319755760836727,0.6838940665077643,0.05191849042409158
4,hard,METER-SCD,789,0.6249597616481779,0.6985633613805537,0.07360359973237585
4,hard,METER-SCD,1024,0.6354513114618502,0.6880200973386817,0.05256878587683156
4,medium,METER-SCD,42,0.7593501500436346,0.8140040329575932,0.05465388291395856
4,medium,METER-SCD,123,0.7624168363133875,0.8135302797318087,0.05111344341842117
4,medium,METER-SCD,456,0.7777145622451062,0.824732436267098,0.04701787402199187
4,medium,METER-SCD,789,0.7631823718424119,0.8405072424989395,0.0773248706565276
4,medium,METER-SCD,1024,0.7788955081359036,0.84527125751298,0.06637574937707647
5,easy,METER-SCD,42,0.8846642675351506,0.9035735082797892,0.018909240744638622
5,easy,METER-SCD,123,0.8773915192411803,0.9237200595333581,0.04632854029217781
5,easy,METER-SCD,456,0.8995742412095186,0.914158872400993,0.014584631191474462
5,easy,METER-SCD,789,0.8703944807439099,0.9375955390412525,0.06720105829734258
5,easy,METER-SCD,1024,0.8869213583375479,0.928099123812238,0.0411777654746901
5,hard,METER-SCD,42,0.6295627055868971,0.6674846720513552,0.03792196646445811
5,hard,METER-SCD,123,0.6183362318679528,0.6808546570807691,0.06251842521281625
5,hard,METER-SCD,456,0.6380872219710616,0.6727813184528241,0.03469409648176247
5,hard,METER-SCD,789,0.6083711956480944,0.6883568773938957,0.07998568174580134
5,hard,METER-SCD,1024,0.6236822565165823,0.6679582695933115,0.04427601307672924
5,medium,METER-SCD,42,0.7631857652261346,0.7925976158453549,0.02941185061922036
5,medium,METER-SCD,123,0.7592002090313119,0.8184258388742219,0.05922562984291002
5,medium,METER-SCD,456,0.7689136301269157,0.8098210485121401,0.04090741838522438
5,medium,METER-SCD,789,0.7464105982020752,0.8271096622825428,0.08069906408046756
5,medium,METER-SCD,1024,0.7679863060451824,0.8189065213517043,0.05092021530652191
6,easy,METER-SCD,42,0.8899350947294595,0.9229748834336613,0.03303978870420177
6,easy,METER-SCD,123,0.9091382619492737,0.918833931528115,0.00969566957884127
6,easy,METER-SCD,456,0.9031633392221152,0.9224950130925581,0.019331673870442878
